C:\Users\shaul\PycharmProjects\ZageTheSmartSnake\.venv\Scripts\python.exe "C:\Users\shaul\PycharmProjects\ZageTheSmartSnake\step 1 simulation\step1_sim.py" 
C:\Users\shaul\PycharmProjects\ZageTheSmartSnake\.venv\Lib\site-packages\pygame\surfarray.py:47: UserWarning: The NumPy module was reloaded (imported a second time). This can in some cases result in small but subtle issues and is discouraged.
  import numpy
pygame 2.6.0 (SDL 2.28.4, Python 3.12.1)
(904, 0.00018239999189972878)
(905, 0.00018039997667074203)
(906, 0.0001838000025600195)
(907, 0.00018239999189972878)
(908, 0.0001852000132203102)
(909, 0.00018179998733103275)
(910, 0.00018440000712871552)
(911, 0.00019459996838122606)
(912, 0.00018759997328743339)
(913, 0.00018370000179857016)
(914, 0.0001860000193119049)
(915, 0.0001810999820008874)
(916, 0.00018620002083480358)
(917, 0.0001954999752342701)
(918, 0.0001941000227816403)
(919, 0.00019749999046325684)
(920, 0.00018470000941306353)
(921, 0.00018269999418407679)
(922, 0.00018350000027567148)
(923, 0.00018350000027567148)
(924, 0.00018319999799132347)
(925, 0.0001805999781936407)
(926, 0.00018259999342262745)
(927, 0.0001813999842852354)
(928, 0.00018229999113827944)
(929, 0.00018010003259405494)
(930, 0.00018179998733103275)
(931, 0.00017980003030970693)
(932, 0.00018669996643438935)
(933, 0.00018060003640130162)
(934, 0.00019649998284876347)
(935, 0.00018420000560581684)
(936, 0.0001857000170275569)
(937, 0.00018450000789016485)
(938, 0.00018690002616494894)
(939, 0.00018420000560581684)
(940, 0.00019729998894035816)
(941, 0.0001797000295482576)
(942, 0.0001824999926611781)
(943, 0.0002028000308200717)
(944, 0.0001894999877549708)
(945, 0.00018309999722987413)
(946, 0.00018620002083480358)
(947, 0.0001867999671958387)
(948, 0.00018780003301799297)
(949, 0.0002618000144138932)
(950, 0.00022980000358074903)
(951, 0.00017289997776970267)
(952, 0.00021500000730156898)
(953, 0.00017290003597736359)
(954, 0.00017479999223724008)
(955, 0.0001724000321701169)
(956, 0.0001756999990902841)
(957, 0.0001734999823383987)
(958, 0.00017370004206895828)
(959, 0.00017139996634796262)
(960, 0.00017409998690709472)
(961, 0.00017149996710941195)
(962, 0.00019950000569224358)
(963, 0.00018759997328743339)
(964, 0.00017390004359185696)
(965, 0.00017199997091665864)
(966, 0.00017390004359185696)
(967, 0.00017179996939375997)
(968, 0.00020949996542185545)
(969, 0.00017170002683997154)
(970, 0.00017339998157694936)
(971, 0.00017209997167810798)
(972, 0.0001734999823383987)
(973, 0.00020929996389895678)
(974, 0.00017309997929260135)
(975, 0.00017140002455562353)
(976, 0.00017399998614564538)
(977, 0.00017030001617968082)
(978, 0.00017330003902316093)
(979, 0.00020439998479560018)
(980, 0.00017289997776970267)
(981, 0.0001710999640636146)
(982, 0.00017289997776970267)
(983, 0.00017120002303272486)
(984, 0.0002106999745592475)
(985, 0.00017049995949491858)
(986, 0.0001732000382617116)
(987, 0.00017090002074837685)
(988, 0.00017279997700825334)
(989, 0.0002503000432625413)
(990, 0.00020859995856881142)
(991, 0.00017119996482506394)
(992, 0.00017340003978461027)
(993, 0.00017110002227127552)
(994, 0.00019669998437166214)
(995, 0.00018510001245886087)
(996, 0.00017250003293156624)
(997, 0.00017099996330216527)
(998, 0.00017319998005405068)
(999, 0.00017030001617968082)
(1000, 0.00021189998369663954)
(1001, 0.00020589999621734023)
(1002, 0.0001737999846227467)
(1003, 0.00020489998860284686)
(1004, 0.00017319998005405068)
(1005, 0.0002193999825976789)
(1006, 0.00017289997776970267)
(1007, 0.00017040001694113016)
(1008, 0.00017289997776970267)
(1009, 0.00017089996254071593)
(1010, 0.00017330003902316093)
(1011, 0.00017040001694113016)
(1012, 0.00017209997167810798)
(1013, 0.0001708000199869275)
(1014, 0.00017559999832883477)
(1015, 0.00017150002531707287)
(1016, 0.0002115000388585031)
(1017, 0.00017119996482506394)
(1018, 0.000172999978531152)
(1019, 0.0001708000199869275)
(1020, 0.00017339998157694936)
(1021, 0.00017100002150982618)
(1022, 0.00017300003673881292)
(1023, 0.00017040001694113016)
(1024, 0.00017259997548535466)
(1025, 0.0001705000177025795)
(1026, 0.00017250003293156624)
(1027, 0.00020889996085315943)
(1028, 0.000172999978531152)
(1029, 0.00017060001846402884)
(1030, 0.00017279997700825334)
(1031, 0.00017089996254071593)
(1032, 0.00020699994638562202)
(1033, 0.00017120002303272486)
(1034, 0.00017310003750026226)
(1035, 0.00020619999850168824)
(1036, 0.00017339998157694936)
(1037, 0.00022440002067014575)
(1038, 0.0001914000022225082)
(1039, 0.00017179996939375997)
(1040, 0.00017340003978461027)
(1041, 0.0001707999617792666)
(1042, 0.0002313999575562775)
(1043, 0.00021989998640492558)
(1044, 0.00017249997472390532)
(1045, 0.00017099996330216527)
(1046, 0.00017290003597736359)
(1047, 0.00020519999088719487)
(1048, 0.00017290003597736359)
(1049, 0.00017060001846402884)
(1050, 0.0001737999846227467)
(1051, 0.00017110002227127552)
(1052, 0.00017289997776970267)
(1053, 0.0002095999661833048)
(1054, 0.0001922000083141029)
(1055, 0.00017340003978461027)
(1056, 0.000208500016015023)
(1057, 0.0001715999678708613)
(1058, 0.00017289997776970267)
(1059, 0.0001708000199869275)
(1060, 0.00017229997320100665)
(1061, 0.0001715999678708613)
(1062, 0.00017310003750026226)
(1063, 0.0001990000018849969)
(1064, 0.0002443999983370304)
(1065, 0.00017280003521591425)
(1066, 0.00017389998538419604)
(1067, 0.00017120002303272486)
(1068, 0.0001973999897018075)
(1069, 0.0001832999987527728)
(1070, 0.00018620002083480358)
(1071, 0.00018309999722987413)
(1072, 0.00021039997227489948)
(1073, 0.00018589996034279466)
(1074, 0.0001829999964684248)
(1075, 0.00018010003259405494)
(1076, 0.00018370000179857016)
(1077, 0.00018049997743219137)
(1078, 0.00019869999960064888)
(1079, 0.0001954999752342701)
(1080, 0.00019809999503195286)
(1081, 0.0001976999919861555)
(1082, 0.00019719998817890882)
(1083, 0.0001970999874174595)
(1084, 0.0001971000456251204)
(1085, 0.0002003999543376267)
(1086, 0.00019780005095526576)
(1087, 0.00019459996838122606)
(1088, 0.00021279999054968357)
(1089, 0.00019540003268048167)
(1090, 0.0001962999813258648)
(1091, 0.00019730004714801908)
(1092, 0.0001998000079765916)
(1093, 0.0002565999748185277)
(1094, 0.0002544000162743032)
(1095, 0.00020080001559108496)
(1096, 0.00020359997870400548)
(1097, 0.00021159998141229153)
(1098, 0.00018580001778900623)
(1099, 0.00018099998123943806)
(1100, 0.0001832999987527728)
(1101, 0.00018169998656958342)
(1102, 0.00022829999215900898)
(1103, 0.0001960000372491777)
(1104, 0.00018729997100308537)
(1105, 0.00018590001855045557)
(1106, 0.0002615000121295452)
(1107, 0.00028229999588802457)
(1108, 0.00017710000975057483)
(1109, 0.00017600000137463212)
(1110, 0.00017739995382726192)
(1111, 0.00021180004114285111)
(1112, 0.0002402999671176076)
(1113, 0.0001824999926611781)
(1114, 0.00018269999418407679)
(1115, 0.00018710002768784761)
(1116, 0.00018809997709468007)
(1117, 0.000208800018299371)
(1118, 0.0002046999870799482)
(1119, 0.00018149998504668474)
(1120, 0.0001838000025600195)
(1121, 0.0003063000040128827)
(1122, 0.00026569998590275645)
(1123, 0.0002736999886110425)
(1124, 0.00019789999350905418)
(1125, 0.00018530001398175955)
(1126, 0.00018609996186569333)
(1127, 0.00018480001017451286)
(1128, 0.00018430000636726618)
(1129, 0.0001908999984152615)
(1130, 0.00020860001677647233)
(1131, 0.00019430002430453897)
(1132, 0.00018969998927786946)
(1133, 0.00018649996491149068)
(1134, 0.00019599997904151678)
(1135, 0.00019789999350905418)
(1136, 0.00018430000636726618)
(1137, 0.00018159998580813408)
(1138, 0.00018279999494552612)
(1139, 0.00019759999122470617)
(1140, 0.00019370001973584294)
(1141, 0.00019150000298395753)
(1142, 0.00019099999917671084)
(1143, 0.00039409997407346964)
(1144, 0.00027870002668350935)
(1145, 0.0002533000078983605)
(1146, 0.0001829999964684248)
(1147, 0.00018850003834813833)
(1148, 0.00018539995653554797)
(1149, 0.00018450000789016485)
(1150, 0.00019400002202019095)
(1151, 0.00018799997633323073)
(1152, 0.0001944000250659883)
(1153, 0.00018540001474320889)
(1154, 0.0001970999874174595)
(1155, 0.0001829999964684248)
(1156, 0.00018269999418407679)
(1157, 0.00018670002464205027)
(1158, 0.00018500001169741154)
(1159, 0.0001832999987527728)
(1160, 0.00018470000941306353)
(1161, 0.00018169998656958342)
(1162, 0.0001879000337794423)
(1163, 0.00018420000560581684)
(1164, 0.0001821999903768301)
(1165, 0.0001805999781936407)
(1166, 0.0001821999903768301)
(1167, 0.00018049997743219137)
(1168, 0.00027760001830756664)
(1169, 0.0003005000180564821)
(1170, 0.0003111999831162393)
(1171, 0.0002840000088326633)
(1172, 0.0002994999522343278)
(1173, 0.0002951999776996672)
(1174, 0.00030909996712580323)
(1175, 0.000291000003926456)
(1176, 0.00028390000807121396)
(1177, 0.000291600008495152)
(1178, 0.00040739995893090963)
(1179, 0.0007162000401876867)
(1180, 0.00041859998600557446)
(1181, 0.0004050999996252358)
(1182, 0.00036429997999221087)
(1183, 0.0003541000187397003)
(1184, 0.00033959996653720737)
(1185, 0.00019069999689236283)
(1186, 0.0002617000136524439)
(1187, 0.00037650001468136907)
(1188, 0.00047930004075169563)
(1189, 0.0003239000216126442)
(1190, 0.0005980999558232725)
(1191, 0.00019789999350905418)
(1192, 0.00019340001745149493)
(1193, 0.00022869999520480633)
(1194, 0.00018269999418407679)
(1195, 0.00018069997895509005)
(1196, 0.00018179998733103275)
(1197, 0.00018010003259405494)
(1198, 0.00018799997633323073)
(1199, 0.00018200004706159234)
(1200, 0.00018350000027567148)
(1201, 0.00018470000941306353)
(1202, 0.0001943999668583274)
(1203, 0.0001900999923236668)
(1204, 0.00018970004748553038)
(1205, 0.00018149998504668474)
(1206, 0.00018279999494552612)
(1207, 0.0001800000318326056)
(1208, 0.00018839997937902808)
(1209, 0.0001908999984152615)
(1210, 0.00019069999689236283)
(1211, 0.000186299963388592)
(1212, 0.00047560001257807016)
(1213, 0.00029090000316500664)
(1214, 0.00019400002202019095)
(1215, 0.00018480001017451286)
(1216, 0.00019019999308511615)
(1217, 0.0002133999951183796)
(1218, 0.00018440000712871552)
(1219, 0.0001852000132203102)
(1220, 0.0001867999671958387)
(1221, 0.00018929998623207211)
(1222, 0.0001829999964684248)
(1223, 0.0001802999759092927)
(1224, 0.00018420000560581684)
(1225, 0.00018839997937902808)
(1226, 0.00018990004900842905)
(1227, 0.00018179998733103275)
(1228, 0.0001821999903768301)
(1229, 0.0001818999880924821)
(1230, 0.00018420000560581684)
(1231, 0.00018309999722987413)
(1232, 0.00018339999951422215)
(1233, 0.00017910002497956157)
(1234, 0.0001813999842852354)
(1235, 0.0001789000234566629)
(1236, 0.00018119998276233673)
(1237, 0.00018220004858449101)
(1238, 0.00018569995881989598)
(1239, 0.00017960002878680825)
(1240, 0.00018640002235770226)
(1241, 0.0001846999512054026)
(1242, 0.000192799954675138)
(1243, 0.00020080001559108496)
(1244, 0.00018289999570697546)
(1245, 0.00017969997134059668)
(1246, 0.00018230004934594035)
(1247, 0.00018559995805844665)
(1248, 0.00018770003225654364)
(1249, 0.00018350000027567148)
(1250, 0.0002413999754935503)
(1251, 0.00021050003124400973)
(1252, 0.00034389999927952886)
(1253, 0.0006083999760448933)
(1254, 0.0002066000015474856)
(1255, 0.00018149998504668474)
(1256, 0.0001928000128827989)
(1257, 0.00018809997709468007)
(1258, 0.000201700022444129)
(1259, 0.00020900001982226968)
(1260, 0.00023749994579702616)
(1261, 0.0003513999981805682)
(1262, 0.0003801999846473336)
(1263, 0.0002587999915704131)
(1264, 0.00033190002432093024)
(1265, 0.00022039999021217227)
(1266, 0.00019029999384656549)
(1267, 0.00018879998242482543)
(1268, 0.0001849000109359622)
(1269, 0.00019049999536946416)
(1270, 0.00018829997861757874)
(1271, 0.00018120004096999764)
(1272, 0.00018319999799132347)
(1273, 0.00018149998504668474)
(1274, 0.00018430000636726618)
(1275, 0.00020070001482963562)
(1276, 0.00036390003515407443)
(1277, 0.00023419997887685895)
(1278, 0.0001873000292107463)
(1279, 0.00018610002007335424)
(1280, 0.00018569995881989598)
(1281, 0.00018530001398175955)
(1282, 0.00018239999189972878)
(1283, 0.00018020003335550427)
(1284, 0.00018799997633323073)
(1285, 0.00018890004139393568)
(1286, 0.00018759997328743339)
(1287, 0.00018480001017451286)
(1288, 0.0002668999950401485)
(1289, 0.00044680002611130476)
(1290, 0.00019509997218847275)
(1291, 0.0001868000254034996)
(1292, 0.00019290001364424825)
(1293, 0.0001818999880924821)
(1294, 0.00018960004672408104)
(1295, 0.0001838000025600195)
(1296, 0.00019210000755265355)
(1297, 0.0001870999694801867)
(1298, 0.00021670002024620771)
(1299, 0.00018129998352378607)
(1300, 0.00018229999113827944)
(1301, 0.00018040003487840295)
(1302, 0.00018400000408291817)
(1303, 0.0001873999717645347)
(1304, 0.00018339999951422215)
(1305, 0.00018290005391463637)
(1306, 0.00018289999570697546)
(1307, 0.0001805999781936407)
(1308, 0.00018580001778900623)
(1309, 0.00018049997743219137)
(1310, 0.00018259999342262745)
(1311, 0.000179499969817698)
(1312, 0.00018209998961538076)
(1313, 0.00018350000027567148)
(1314, 0.00018339999951422215)
(1315, 0.00018169998656958342)
(1316, 0.00018450000789016485)
(1317, 0.00018590001855045557)
(1318, 0.00018999999156221747)
(1319, 0.00018910004291683435)
(1320, 0.0001848999527283013)
(1321, 0.00018069997895509005)
(1322, 0.00018530001398175955)
(1323, 0.00018089998047798872)
(1324, 0.0001868000254034996)
(1325, 0.00018689996795728803)
(1326, 0.00018710002768784761)
(1327, 0.00022659997921437025)
(1328, 0.00023669999791309237)
(1329, 0.0006362999556586146)
(1330, 0.00025589996948838234)
(1331, 0.00019210000755265355)
(1332, 0.0001838000025600195)
(1333, 0.00018989999080076814)
(1334, 0.00019990000873804092)
(1335, 0.0002482000272721052)
(1336, 0.0003402000293135643)
(1337, 0.00040250003803521395)
(1338, 0.0003386000171303749)
(1339, 0.00030130002414807677)
(1340, 0.0002639000304043293)
(1341, 0.00019120000069960952)
(1342, 0.0001851999550126493)
(1343, 0.00018360000103712082)
(1344, 0.00018360000103712082)
(1345, 0.000186299963388592)
(1346, 0.00019760004943236709)
(1347, 0.00018370000179857016)
(1348, 0.00018309999722987413)
(1349, 0.00018079997971653938)
(1350, 0.0001829999964684248)
(1351, 0.00018370000179857016)
(1352, 0.00018800003454089165)
(1353, 0.00018989999080076814)
(1354, 0.00018350000027567148)
(1355, 0.00018590001855045557)
(1356, 0.00018480001017451286)
(1357, 0.00019039999460801482)
(1358, 0.0001838000025600195)
(1359, 0.00018060003640130162)
(1360, 0.0001894999877549708)
(1361, 0.0001922000083141029)
(1362, 0.0006564999930560589)
(1363, 0.00039950001519173384)
(1364, 0.0001925000105984509)
(1365, 0.00018209998961538076)
(1366, 0.00018319999799132347)
(1367, 0.00018729997100308537)
(1368, 0.0001917000045068562)
(1369, 0.00018670002464205027)
(1370, 0.00018719997024163604)
(1371, 0.00018119998276233673)
(1372, 0.0001824999926611781)
(1373, 0.0001832999987527728)
(1374, 0.00018269999418407679)
(1375, 0.00018559995805844665)
(1376, 0.0001829999964684248)
(1377, 0.00018170004477724433)
(1378, 0.00018229999113827944)
(1379, 0.00023399997735396028)
(1380, 0.00018370000179857016)
(1381, 0.00017980003030970693)
(1382, 0.00018199998885393143)
(1383, 0.00017940002726390958)
(1384, 0.00018620002083480358)
(1385, 0.00017989997286349535)
(1386, 0.0001821999903768301)
(1387, 0.0001802999759092927)
(1388, 0.00018229999113827944)
(1389, 0.00018390000332146883)
(1390, 0.00018210004782304168)
(1391, 0.00018049997743219137)
(1392, 0.00019109999993816018)
(1393, 0.0001846000086516142)
(1394, 0.00018910004291683435)
(1395, 0.0001843999489210546)
(1396, 0.00018239999189972878)
(1397, 0.00018069997895509005)
(1398, 0.00018279999494552612)
(1399, 0.00019430002430453897)
(1400, 0.00019380002049729228)
(1401, 0.000186299963388592)
(1402, 0.0002772000152617693)
(1403, 0.0002095999661833048)
(1404, 0.0008193000103347003)
(1405, 0.0002959000412374735)
(1406, 0.0002402999671176076)
(1407, 0.00020439998479560018)
(1408, 0.0002969999914057553)
(1409, 0.0004879999905824661)
(1410, 0.00036400003591552377)
(1411, 0.00023319997126236558)
(1412, 0.00026489997981116176)
(1413, 0.00029739999445155263)
(1414, 0.0001914000022225082)
(1415, 0.00018810003530234098)
(1416, 0.00018830003682523966)
(1417, 0.00018449994968250394)
(1418, 0.00018659996567294002)
(1419, 0.00018530001398175955)
(1420, 0.00018929998623207211)
(1421, 0.0001876000314950943)
(1422, 0.00018440000712871552)
(1423, 0.00018269999418407679)
(1424, 0.00018400000408291817)
(1425, 0.0001936000189743936)
(1426, 0.0001922999508678913)
(1427, 0.00018350000027567148)
(1428, 0.00019189994782209396)
(1429, 0.000181600044015795)
(1430, 0.00018919998547062278)
(1431, 0.00018180004553869367)
(1432, 0.00018279999494552612)
(1433, 0.0001878999755717814)
(1434, 0.00018710002768784761)
(1435, 0.00019880000036209822)
(1436, 0.00048690004041418433)
(1437, 0.0002334999735467136)
(1438, 0.00018670002464205027)
(1439, 0.00019069999689236283)
(1440, 0.0001832999987527728)
(1441, 0.000188400037586689)
(1442, 0.0001849000109359622)
(1443, 0.00018499995348975062)
(1444, 0.00020519999088719487)
(1445, 0.00019150000298395753)
(1446, 0.0001821999903768301)
(1447, 0.00018070003716275096)
(1448, 0.0001824999926611781)
(1449, 0.0001944000250659883)
(1450, 0.0001860000193119049)
(1451, 0.00018229999113827944)
(1452, 0.0001841000048443675)
(1453, 0.0001895000459626317)
(1454, 0.00018719997024163604)
(1455, 0.00018060003640130162)
(1456, 0.00018179998733103275)
(1457, 0.00018010003259405494)
(1458, 0.00018239999189972878)
(1459, 0.00018500001169741154)
(1460, 0.00027059996500611305)
(1461, 0.0002791999722830951)
(1462, 0.0002266999799758196)
(1463, 0.00019839999731630087)
(1464, 0.00021229998674243689)
(1465, 0.0002150999498553574)
(1466, 0.00021900003775954247)
(1467, 0.0002194000408053398)
(1468, 0.00021280004875734448)
(1469, 0.00021739996736869216)
(1470, 0.00020429998403415084)
(1471, 0.00020260002929717302)
(1472, 0.00022029998945072293)
(1473, 0.0002190999803133309)
(1474, 0.00018420000560581684)
(1475, 0.000298099999781698)
(1476, 0.0003458999563008547)
(1477, 0.0008770999847911298)
(1478, 0.0003281999961473048)
(1479, 0.0005440000095404685)
(1480, 0.0005256999866105616)
(1481, 0.0006218000198714435)
(1482, 0.0003250999725423753)
(1483, 0.00019650004105642438)
(1484, 0.0002028000308200717)
(1485, 0.0001851999550126493)
(1486, 0.0001829999964684248)
(1487, 0.00018079997971653938)
(1488, 0.0001867999671958387)
(1489, 0.00018859998090192676)
(1490, 0.000188700039871037)
(1491, 0.0001849000109359622)
(1492, 0.0001829999964684248)
(1493, 0.0001810999820008874)
(1494, 0.00018500001169741154)
(1495, 0.0002098999684676528)
(1496, 0.0001873999717645347)
(1497, 0.00019049999536946416)
(1498, 0.0001841000048443675)
(1499, 0.00018530001398175955)
(1500, 0.0001908999984152615)
(1501, 0.00018199998885393143)
(1502, 0.00018200004706159234)
(1503, 0.00018239999189972878)
(1504, 0.00018580001778900623)
(1505, 0.0001894999877549708)
(1506, 0.0001840999466367066)
(1507, 0.00024729996221140027)
(1508, 0.0003307999577373266)
(1509, 0.00020189996575936675)
(1510, 0.00019120000069960952)
(1511, 0.0001838000025600195)
(1512, 0.0001832999987527728)
(1513, 0.0002012000186368823)
(1514, 0.00018450000789016485)
(1515, 0.000186299963388592)
(1516, 0.0001879000337794423)
(1517, 0.0001805999781936407)
(1518, 0.00019829999655485153)
(1519, 0.0001905999961309135)
(1520, 0.00018569995881989598)
(1521, 0.00018390000332146883)
(1522, 0.0001829999964684248)
(1523, 0.00019489997066557407)
(1524, 0.00018610002007335424)
(1525, 0.0002169000217691064)
(1526, 0.00018720002844929695)
(1527, 0.0001849000109359622)
(1528, 0.00018499995348975062)
(1529, 0.00019159994553774595)
(1530, 0.0001838000025600195)
(1531, 0.00018089998047798872)
(1532, 0.00018350000027567148)
(1533, 0.00018850003834813833)
(1534, 0.0001998000079765916)
(1535, 0.00018610002007335424)
(1536, 0.00033489998895674944)
(1537, 0.0002709999680519104)
(1538, 0.0005901000113226473)
(1539, 0.00020969996694475412)
(1540, 0.00018529995577409863)
(1541, 0.00018060003640130162)
(1542, 0.00018179998733103275)
(1543, 0.0001824999926611781)
(1544, 0.00018200004706159234)
(1545, 0.00018079997971653938)
(1546, 0.0001832999987527728)
(1547, 0.00018060003640130162)
(1548, 0.00018239999189972878)
(1549, 0.0001810999820008874)
(1550, 0.00018440000712871552)
(1551, 0.0002528000040911138)
(1552, 0.00022570003056898713)
(1553, 0.00026080000679939985)
(1554, 0.0002986000035889447)
(1555, 0.00024209998082369566)
(1556, 0.0001832999987527728)
(1557, 0.00018049997743219137)
(1558, 0.00018149998504668474)
(1559, 0.0001810999820008874)
(1560, 0.00018140004249289632)
(1561, 0.00017939996905624866)
(1562, 0.000181900046300143)
(1563, 0.00018039997667074203)
(1564, 0.00018179998733103275)
(1565, 0.00018010003259405494)
(1566, 0.00018209998961538076)
(1567, 0.00017900002421811223)
(1568, 0.0001813999842852354)
(1569, 0.00018070003716275096)
(1570, 0.00018530001398175955)
(1571, 0.0001818999880924821)
(1572, 0.00018159998580813408)
(1573, 0.0001803000341169536)
(1574, 0.0001818999880924821)
(1575, 0.00018120004096999764)
(1576, 0.00018199998885393143)
(1577, 0.00018019997514784336)
(1578, 0.0001821999903768301)
(1579, 0.0001799999736249447)
(1580, 0.00018140004249289632)
(1581, 0.00017969997134059668)
(1582, 0.00018150004325434566)
(1583, 0.00017989997286349535)
(1584, 0.00018239999189972878)
(1585, 0.00018540001474320889)
(1586, 0.00018289999570697546)
(1587, 0.00017909996677190065)
(1588, 0.00018210004782304168)
(1589, 0.00017969997134059668)
(1590, 0.00018150004325434566)
(1591, 0.0001802999759092927)
(1592, 0.00018179998733103275)
(1593, 0.00017939996905624866)
(1594, 0.00018740002997219563)
(1595, 0.00017110002227127552)
(1596, 0.00021899997955188155)
(1597, 0.0001724000321701169)
(1598, 0.0001742999884299934)
(1599, 0.00017100002150982618)
(1600, 0.00017259997548535466)
(1601, 0.00019379996228963137)
(1602, 0.00018729997100308537)
(1603, 0.0001707999617792666)
(1604, 0.00017260003369301558)
(1605, 0.00017090002074837685)
(1606, 0.00017309997929260135)
(1607, 0.0001716000260785222)
(1608, 0.00020740000763908029)
(1609, 0.00017040001694113016)
(1610, 0.00017289997776970267)
(1611, 0.0001708000199869275)
(1612, 0.00021359999664127827)
(1613, 0.0001713000237941742)
(1614, 0.00017249997472390532)
(1615, 0.0001707999617792666)
(1616, 0.00017310003750026226)
(1617, 0.00017090002074837685)
(1618, 0.000172399973962456)
(1619, 0.00017070001922547817)
(1620, 0.00017249997472390532)
(1621, 0.00017049995949491858)
(1622, 0.00017220003064721823)
(1623, 0.00020910002058371902)
(1624, 0.000172699976246804)
(1625, 0.00017120002303272486)
(1626, 0.00017250003293156624)
(1627, 0.00017129996558651328)
(1628, 0.00017289997776970267)
(1629, 0.00022059999173507094)
(1630, 0.00017279997700825334)
(1631, 0.00017100002150982618)
(1632, 0.00017260003369301558)
(1633, 0.00017060001846402884)
(1634, 0.00021109997760504484)
(1635, 0.0001705000177025795)
(1636, 0.00020940002286806703)
(1637, 0.00019950000569224358)
(1638, 0.00019300001440569758)
(1639, 0.00018719997024163604)
(1640, 0.00017670000670477748)
(1641, 0.0002395000192336738)
(1642, 0.000312299991492182)
(1643, 0.00036669999826699495)
(1644, 0.00017519999528303742)
(1645, 0.00017439998919144273)
(1646, 0.0001734999823383987)
(1647, 0.00020640000002458692)
(1648, 0.0001743000466376543)
(1649, 0.00017149996710941195)
(1650, 0.00017260003369301558)
(1651, 0.0001713000237941742)
(1652, 0.00019599997904151678)
(1653, 0.0002240000176243484)
(1654, 0.00017319998005405068)
(1655, 0.0001710999640636146)
(1656, 0.00017250003293156624)
(1657, 0.0001708000199869275)
(1658, 0.00017359998309984803)
(1659, 0.00017180002760142088)
(1660, 0.000172999978531152)
(1661, 0.00017150002531707287)
(1662, 0.00017330003902316093)
(1663, 0.00019569997675716877)
(1664, 0.0002686000079847872)
(1665, 0.00017190002836287022)
(1666, 0.00017300003673881292)
(1667, 0.00017119996482506394)
(1668, 0.00017380004283040762)
(1669, 0.00017149996710941195)
(1670, 0.00017279997700825334)
(1671, 0.00017120002303272486)
(1672, 0.00017279997700825334)
(1673, 0.0001716000260785222)
(1674, 0.00019880000036209822)
(1675, 0.0001713000237941742)
(1676, 0.00017399998614564538)
(1677, 0.00017170002683997154)
(1678, 0.00017290003597736359)
(1679, 0.0002739999908953905)
(1680, 0.0001734999823383987)
(1681, 0.00017089996254071593)
(1682, 0.00017230003140866756)
(1683, 0.00017120002303272486)
(1684, 0.00021239998750388622)
(1685, 0.0001708000199869275)
(1686, 0.00017279997700825334)
(1687, 0.00017009995644912124)
(1688, 0.00020750000840052962)
(1689, 0.00019230000907555223)
(1690, 0.00018780003301799297)
(1691, 0.00017120002303272486)
(1692, 0.000172699976246804)
(1693, 0.0001716000260785222)
(1694, 0.00019400002202019095)
(1695, 0.00018729997100308537)
(1696, 0.0001724000321701169)
(1697, 0.00017070001922547817)
(1698, 0.00017289997776970267)
(1699, 0.00017040001694113016)
(1700, 0.00017370004206895828)
(1701, 0.00017069996101781726)
(1702, 0.00017259997548535466)
(1703, 0.00017030001617968082)
(1704, 0.00017260003369301558)
(1705, 0.00019079999765381217)
(1706, 0.00018129998352378607)
(1707, 0.00018090003868564963)
(1708, 0.00018179998733103275)
(1709, 0.0001792000257410109)
(1710, 0.0001943999668583274)
(1711, 0.0002144999452866614)
(1712, 0.00017640000442042947)
(1713, 0.00017389998538419604)
(1714, 0.00017660000594332814)
(1715, 0.00017439998919144273)
(1716, 0.0001773000112734735)
(1717, 0.00017339998157694936)
(1718, 0.00017689995002001524)
(1719, 0.0001745999907143414)
(1720, 0.00017630000365898013)
(1721, 0.00019719998817890882)
(1722, 0.00022580003133043647)
(1723, 0.0001753999968059361)
(1724, 0.0001756999990902841)
(1725, 0.0001748999929986894)
(1726, 0.0001979000517167151)
(1727, 0.0001878999755717814)
(1728, 0.00017600000137463212)
(1729, 0.00017410004511475563)
(1730, 0.0001765000051818788)
(1731, 0.00017399998614564538)
(1732, 0.0002142000012099743)
(1733, 0.00017579999985173345)
(1734, 0.00017600000137463212)
(1735, 0.00017439998919144273)
(1736, 0.00017610000213608146)
(1737, 0.00021430000197142363)
(1738, 0.00017600000137463212)
(1739, 0.00017439998919144273)
(1740, 0.00017690000822767615)
(1741, 0.00020920002134516835)
(1742, 0.00021989998640492558)
(1743, 0.0001737999846227467)
(1744, 0.0001765000051818788)
(1745, 0.0001742999884299934)
(1746, 0.00017680000746622682)
(1747, 0.00020910002058371902)
(1748, 0.0001770000089891255)
(1749, 0.00017399998614564538)
(1750, 0.0001762000028975308)
(1751, 0.00017479999223724008)
(1752, 0.00017690000822767615)
(1753, 0.00028419995214790106)
(1754, 0.00017690000822767615)
(1755, 0.00017499999376013875)
(1756, 0.0001772999530658126)
(1757, 0.0001981999957934022)
(1758, 0.00019069999689236283)
(1759, 0.0001745999907143414)
(1760, 0.00017660000594332814)
(1761, 0.00017450004816055298)
(1762, 0.00017670000670477748)
(1763, 0.00019839999731630087)
(1764, 0.00018099998123943806)
(1765, 0.00017980003030970693)
(1766, 0.00018099998123943806)
(1767, 0.0001797000295482576)
(1768, 0.0001818999880924821)
(1769, 0.00017940002726390958)
(1770, 0.0001813999842852354)
